ID,Name,Lat,Lng,Region
524059,صالون ركن المحترفون للحلاقة,24.51388,39.57158,North
524603,مؤسسة حسين عبدالغني بن عطيه السراني للتمور,24.45885,39.60813,North
929005,مؤسسة ركن بدرية للستائر,30.99155,40.9994,North
493893,حلاق عبدالرحمن عبدالله عايض آل محمود الاسمري للحلاقة,24.59977,46.57829,Center
962522,مؤسسة خالد محمد بن عجاج الجهني للاتصالات و تقنية المعلومات,30.98428,41.02272,North
894782,مؤسسة مروه محمد علي القعدي للتجارة,21.40861,39.48677,West
874002,Shamat Alkhaleej Commercial Establishment,26.44645,50.09597,East
897898,مؤسسة خمسة ونص للخضار والفواكه,28.40836,36.5186,North
896856,مطعم حكاية المدينة لتقديم الوجبات,24.65407,46.799,Center
525392,بقالة عايض سالم عائض القحطاني للمواد الغذائية,19.54032,43.51932,South
736193,بقالة الاخوه الجبل للمواد الغذائية,24.54342,39.67629,North
519814,صالون الف ونون للحلاقة,21.67577,39.83431,West
1186842,Establishment shif hartna,24.80314,46.89913,Center
911605,مؤسسة الاء عبده هادي العبدان,21.48069,39.37057,West
1052593,Brand city Establishment,28.43796,45.96797,East
955027,Establishment MOHAMMED SAHAL ALOTAIBI,22.63006,41.36266,South
524226,محل عزيزه علي احمد أثلاوي التجارية,19.53292,43.50539,South
904031,مؤسسة راكان خلف حسين العنزي للتجارة,24.81794,46.89026,Center
520932,بقالة عايض سالم عائض القحطاني للمواد الغذائية,19.57193,43.50234,South
533356,خياط اصل المميز للخياطة الرجالية,19.58252,41.6664,
480109,خياط مشاعل محمد بن مفلح الربيعي للخياطة الرجالية,17.54605,44.21562,South
898930,مؤسسة جوده وضمان للتجارة,25.03997,37.27093,North
976965,مؤسسة مفتاح الخباز التجارية,28.38397,36.46648,North
1046761,ذوق الخيال Grocery For food products,0,0,
920923,مؤسسة مخرطة قمة الممتاز للمعادن,26.41231,43.88345,Center
506908,مؤسسة علي ابكر محمد الجيزاني للتجارة,21.57394,39.21191,West
963749,مؤسسة أمال محمد تراحيب المطيري للتجارة,0,0,
293130,مؤسسة احمد غياض العنزي للمقاولات,24.82457,46.88259,Center
881034,مؤسسة أروع موضة للتجارة,16.9683,42.83172,South
519914,ملحمة موسى عبدالله حسن الخثعمي التجارية,19.80115,41.89325,South
938565,Marhaban Injaz For Contracting Establishment,22.83903,39.03162,West
950683,مؤسسة الفني الباسل لخدمات السيارات,21.45797,39.84195,West
490616,مؤسسة مسفر عبدالله سفر الخثعمي للمقاولات العامة,19.73277,41.91378,South
866805,مؤسسة الكثيب الذهبي التجارية,18.32497,42.7315,South
517524,مغسلة الكي بلس لغسيل الملابس,17.54416,44.22672,South
767274,محل واجهة المنطقة للخضار والفواكه,17.5783,42.62943,South
921858,مؤسسة ابتسام عزيز علي البلوي للتشغيل والصيانة,28.87569,35.33988,North
654993,مؤسسة مطعم قدورة للمأكولات البحرية,0,0,
698684,محل افكار الحسام لبيع الجوالات وصيانتها,17.14871,42.62575,South
524596,خياط برواز تبوك للخياطة الرجالية,28.37808,36.58015,North
901394,مؤسسة كافي فهد حبيب الشمري للتجارة,27.45589,41.64997,North
896059,مؤسسة ذوق الخيال للاجره العامة,24.29466,39.34035,North
1052724,Establishment lamat aljamila,0,0,
554509,مطعم ليالي الديرة للأكلات الشعبية,23.98884,47.13781,Center
524603,مؤسسة حسين عبدالغني بن عطيه السراني للتمور,24.46185,39.6147,North
941930,مؤسسة جنى سعد خالد المدار التجارية,24.68117,46.69077,Center
910953,مؤسسة مشغل سعده سعدالله رده المتعاني للخياطة النسائية,21.40372,39.87143,West
523676,تموينات سنابل لين للمواد الغذائية,28.43693,36.51822,North
962246,مؤسسة فاتن الحلوة للحلويات و المكسرات,21.55643,39.21349,West
524597,حلاق ثقتي للحلاقة الرجالية,28.37885,36.58192,North
572906,مؤسسة مريم خالد بن اسحاق خيمي للتشغيل والصيانة,21.51011,39.24547,West
892395,مؤسسة أجمل الاماكن للخدمات التسويقية,24.72965,46.76307,Center
966003,مؤسسة نبتة الموسم التجارية,0,0,
983843,Imdad alHayat Laundries For laundry,0,0,
901056,مؤسسة ملحمة أصل الحاشي التجارية,18.18893,42.66559,South
884018,تموينات همام الأطلس للمواد الغذائية,26.19207,50.16053,East
1183706,مؤسسة نجود فايز بن خميس المزمومي التجارية,0,0,
911612,بوفية ريان خالد ابن علي الاحمرى لتقديم الوجبات,21.42888,39.85884,West
904310,مؤسسة منيره مرزوق آل خمسان,17.5774,44.34557,South
902589,مؤسسة مغاسل ورد تولين لغسيل الملابس,16.99188,42.83684,South
729813,مطعم طعم باهر للوجبات السريعة,19.85133,41.58261,South
510719,شركة ديار الماس للنجارة,24.89085,46.62551,Center
515637,مؤسسة المثلث الماسي لتأجير المعدات,24.53993,46.68965,Center
467154,مؤسسة ياسر حسن علي كسناوي لبيع الجوالات وصيانتها,21.42355,39.80367,West
527798,صالون عصر القصات للحلاقة الرجالية,24.54224,46.69196,Center
523848,حلاق اثير خالد الغربي للحلاقة الرجالية,24.72553,46.79662,Center
896972,مؤسسة مواسم القطن للتجارة,21.58341,39.23512,West
523944,مؤسسة دار الاجداد للتجاره,24.58939,46.62606,Center
764138,مؤسسة خالد محمد حسن كعبي التجارية,24.58974,46.76262,Center
